      # Time       Position       Velocity   Acceleration
       0.000000       1.000000       0.000000     -10.000000
       0.010000       0.999501      -0.099734      -9.945142
       0.020000       0.998007      -0.198871      -9.880638
       0.030000       0.995526      -0.297315      -9.806600
       0.040000       0.992064      -0.394971      -9.723151
       0.050000       0.987629      -0.491747      -9.630419
       0.060000       0.982232      -0.587549      -9.528545
       0.070000       0.975882      -0.682288      -9.417675
       0.080000       0.968590      -0.775873      -9.297964
       0.090000       0.960369      -0.868218      -9.169576
       0.100000       0.951230      -0.959236      -9.032683
       0.110000       0.941188      -1.048844      -8.887463
       0.120000       0.930258      -1.136959      -8.734103
       0.130000       0.918455      -1.223500      -8.572796
       0.140000       0.905794      -1.308389      -8.403743
       0.150000       0.892293      -1.391549      -8.227151
       0.160000       0.877969      -1.472907      -8.043234
       0.170000       0.862841      -1.552390      -7.852211
       0.180000       0.846927      -1.629929      -7.654310
       0.190000       0.830249      -1.705454      -7.449761
       0.200000       0.812825      -1.778902      -7.238801
       0.210000       0.794678      -1.850210      -7.021674
       0.220000       0.775828      -1.919316      -6.798626
       0.230000       0.756299      -1.986163      -6.569909
       0.240000       0.736113      -2.050696      -6.335780
       0.250000       0.715293      -2.112862      -6.096500
       0.260000       0.693864      -2.172610      -5.852332
       0.270000       0.671849      -2.229893      -5.603544
       0.280000       0.649274      -2.284666      -5.350409
       0.290000       0.626164      -2.336888      -5.093199
       0.300000       0.602545      -2.386518      -4.832192
       0.310000       0.578443      -2.433520      -4.567667
       0.320000       0.553884      -2.477860      -4.299905
       0.330000       0.528894      -2.519508      -4.029190
       0.340000       0.503502      -2.558435      -3.755807
       0.350000       0.477735      -2.594616      -3.480041
       0.360000       0.451619      -2.628029      -3.202179
       0.370000       0.425184      -2.658654      -2.922509
       0.380000       0.398456      -2.686474      -2.641319
       0.390000       0.371464      -2.711476      -2.358897
       0.400000       0.344236      -2.733649      -2.075531
       0.410000       0.316800      -2.752984      -1.791508
       0.420000       0.289185      -2.769478      -1.507114
       0.430000       0.261420      -2.783126      -1.222636
       0.440000       0.233532      -2.793931      -0.938357
       0.450000       0.205551      -2.801895      -0.654560
       0.460000       0.177504      -2.807025      -0.371526
       0.470000       0.149420      -2.809329      -0.089532
       0.480000       0.121327      -2.808820       0.191144
       0.490000       0.093253      -2.805512       0.470230
       0.500000       0.065226      -2.799422       0.747454
       0.510000       0.037273      -2.790570       1.022551
       0.520000       0.009423      -2.778979       1.295255
       0.530000      -0.018297      -2.764673       1.565308
       0.540000      -0.045861      -2.747682       1.832452
       0.550000      -0.073242      -2.728035       2.096437
