            # x            Gamma(x)
      -4.500000           -0.060020
      -4.495498           -0.060462
      -4.490995           -0.060921
      -4.486493           -0.061394
      -4.481991           -0.061884
      -4.477489           -0.062389
      -4.472986           -0.062911
      -4.468484           -0.063450
      -4.463982           -0.064007
      -4.459480           -0.064581
      -4.454977           -0.065173
      -4.450475           -0.065783
      -4.445973           -0.066413
      -4.441471           -0.067063
      -4.436968           -0.067732
      -4.432466           -0.068422
      -4.427964           -0.069133
      -4.423462           -0.069866
      -4.418959           -0.070622
      -4.414457           -0.071401
      -4.409955           -0.072203
      -4.405453           -0.073030
      -4.400950           -0.073883
      -4.396448           -0.074761
      -4.391946           -0.075667
      -4.387444           -0.076601
      -4.382941           -0.077563
      -4.378439           -0.078555
      -4.373937           -0.079578
      -4.369435           -0.080633
      -4.364932           -0.081721
      -4.360430           -0.082843
      -4.355928           -0.084001
      -4.351426           -0.085196
      -4.346923           -0.086429
      -4.342421           -0.087702
      -4.337919           -0.089016
      -4.333417           -0.090373
      -4.328914           -0.091775
      -4.324412           -0.093224
      -4.319910           -0.094721
      -4.315408           -0.096269
      -4.310905           -0.097870
      -4.306403           -0.099526
      -4.301901           -0.101239
      -4.297399           -0.103013
      -4.292896           -0.104850
      -4.288394           -0.106753
      -4.283892           -0.108726
      -4.279390           -0.110770
      -4.274887           -0.112891
      -4.270385           -0.115092
      -4.265883           -0.117377
      -4.261381           -0.119751
      -4.256878           -0.122217
      -4.252376           -0.124782
      -4.247874           -0.127450
      -4.243372           -0.130227
      -4.238869           -0.133120
      -4.234367           -0.136136
      -4.229865           -0.139280
      -4.225363           -0.142562
      -4.220860           -0.145990
      -4.216358           -0.149573
      -4.211856           -0.153320
      -4.207354           -0.157244
      -4.202851           -0.161355
      -4.198349           -0.165666
      -4.193847           -0.170192
      -4.189345           -0.174947
      -4.184842           -0.179949
      -4.180340           -0.185217
      -4.175838           -0.190770
      -4.171336           -0.196632
      -4.166833           -0.202828
      -4.162331           -0.209385
      -4.157829           -0.216335
      -4.153327           -0.223712
      -4.148824           -0.231556
      -4.144322           -0.239909
      -4.139820           -0.248823
      -4.135318           -0.258352
      -4.130815           -0.268561
      -4.126313           -0.279523
      -4.121811           -0.291321
      -4.117309           -0.304052
